Capstone Competition									
Page last updated on: 2015-10-12 04:28:58 (GMT)									
Rank	Alias	Classification Accuracy	Precision 0	Precision 1	Recall 0	Recall 1	Precision	Recall	F1
103	cvc	0.740374814	0.994389753	0.014519056	0.742491306	0.475247525	0.504454405	0.608869415	0.551765538
104	FTG	0.596565514	0.994988791	0.012185687	0.596348403	0.623762376	0.503587239	0.61005539	0.551731949
105	Sergio	0.56747432	0.995142936	0.011898323	0.56678786	0.653465347	0.50352063	0.610126603	0.551721088
106	amobooc	0.566611778	0.995135511	0.011874775	0.565918432	0.653465347	0.503505143	0.609691889	0.551533993
107	goldenb	0.652160276	0.994701349	0.012811868	0.652861208	0.564356436	0.503756608	0.608608822	0.551241
108	BlueHawk	0.340076845	0.997183099	0.010479218	0.335757193	0.881188119	0.503831158	0.608472656	0.551229761
109	richard	0.735121148	0.99434968	0.014230655	0.7371957	0.475247525	0.504290168	0.606221613	0.550577858
110	armor	0.734180193	0.994342442	0.014180207	0.736247234	0.475247525	0.504261325	0.605747379	0.55036501
111	slv123	0.561201286	0.995088409	0.011729163	0.560464749	0.653465347	0.503408786	0.606965048	0.550357958
112	xlz110	0.771818396	0.994216721	0.015188126	0.774502055	0.435643564	0.504702423	0.60507281	0.550348763
113	geledek	0.570140359	0.995028998	0.011794593	0.569554221	0.643564356	0.503411795	0.606559289	0.550192892
114	HHA	0.70485376	0.994437027	0.013545817	0.706449573	0.504950495	0.503991422	0.605700034	0.550184684
115	gabrieljara	0.722731906	0.994360087	0.013869233	0.724628517	0.485148515	0.50411466	0.604888516	0.549922985
116	gio2015	0.539245668	0.995176849	0.011503976	0.538175782	0.673267327	0.503340412	0.605721555	0.549805414
117	dushshantha	0.422096762	0.996055597	0.01076861	0.419143218	0.792079208	0.503412103	0.605611213	0.549802714
118	FlatPanda	0.42178311	0.996052632	0.010762814	0.418827063	0.792079208	0.503407723	0.605453135	0.54973495
119	velik	0.421469458	0.996049661	0.010757026	0.418510907	0.792079208	0.503403344	0.605295058	0.549667169
120	fld00	0.528424684	0.995225306	0.011403074	0.527189377	0.683168317	0.50331419	0.605178847	0.549566106
121	Point01	0.814396613	0.994043616	0.016638225	0.817815365	0.386138614	0.505340921	0.60197699	0.549442221
122	label	0.814396613	0.994043616	0.016638225	0.817815365	0.386138614	0.505340921	0.60197699	0.549442221
123	reallylast	0.8143182	0.994043044	0.01663113	0.817736326	0.386138614	0.505337087	0.60193747	0.549423493
124	eddington	0.813926135	0.994040181	0.016595745	0.817341132	0.386138614	0.505317963	0.601739873	0.549329867
